Symbol,Date,Quantity,Price,c. price_unnamed: 4_level_1_c. price_c. price,Proceeds,Commission,Basis,realized p/l_unnamed: 8_level_1_realized p/l_realized p/l,mtm p/l_mtm in usd_mtm p/l_mtm p/l,code_code_code_code
AAPL,2025-01-16 11:28:57,-2168.0,230.524681273,228.2600,499777.51,-176.95,-499600.56,0.00,4909.83,O;P;SO
AAPL,2025-01-23 14:08:17,2168.0,222.75,223.6600,-482922.0,-162.68,499600.56,16515.88,1972.88,C;P;SO
AAPL,2025-01-24 12:40:48,2252.0,222.0,222.7800,-499944.0,-168.98,500112.98,0.00,1756.56,O;SO
AAPL,2025-01-27 14:07:24,-2252.0,231.290390764,229.8600,520865.96,-183.85,-500112.98,20569.13,3221.24,C;P;SO
AAPL,2025-06-25 11:22:45,1237.0,202.0,201.5600,-249874.0,-92.82,249966.82,0.00,-544.28,O;P
AAPL,2025-07-08 10:31:57,1196.0,209.7,210.0100,-250801.2,-89.73,250890.93,0.00,370.76,O;P
AAPL,2025-07-17 10:05:57,-1216.0,210.43,210.0200,255882.88,-91.43,-245723.24,10068.21,498.56,C;P
AAPL,2025-07-30 12:21:09,-1237.0,210.375,209.0500,260233.88,-93.01,-255134.50,800.36,1639.02,C;O;P
AAPL,2025-07-30 12:45:23,20.0,210.02,209.0500,-4200.4,-2.5,4206.00,3.10,-19.40,C
ADBE,2025-06-30 09:46:13,650.0,387.936615385,386.8800,-252158.8,-48.77,252207.57,0.00,-686.80,IM;O;P
ADBE,2025-07-09 11:56:44,-650.0,374.563076923,373.3800,243466.0,-48.88,-252207.57,-8790.45,769.00,C;P
ADBE,2025-07-23 10:26:12,400.0,373.6075,372.4600,-149443.0,-30.01,149473.01,0.00,-459.00,O
ADBE,2025-07-31 09:30:37,-400.0,357.964425,357.6900,143185.77,-30.08,-149473.01,-6317.32,109.77,C
ALL,2025-01-06 14:03:00,800.0,188.7,185.9100,-150960.0,-60.03,151020.03,0.00,-2232.00,O;P;SO
ALL,2025-01-14 10:29:14,812.0,185.0,186.8100,-150220.0,-60.93,150280.93,0.00,1469.72,O;P;SO
ALL,2025-01-15 11:07:56,530.0,188.785943396,188.0300,-100056.55,-39.77,100096.32,0.00,-400.65,O;P;SO
ALL,2025-02-11 09:30:00,-2142.0,186.9,189.4300,400339.8,-172.21,-401397.28,-1229.69,-5419.26,C;P;SO
AMZN,2025-02-21 13:47:27,2320.0,215.669377586,216.5800,-500352.96,-174.1,500527.06,0.00,2112.64,O;P;SO
AMZN,2025-02-26 13:33:24,-1089.0,214.93,214.3500,234058.77,-88.4,-234939.95,-969.58,631.62,C;P;SO
AMZN,2025-03-12 11:04:32,-1231.0,195.5,198.8900,240660.5,-99.26,-265587.11,-25025.87,-4173.09,C;P
AMZN,2025-05-01 14:43:59,2660.0,190.5,190.2000,-506730.0,-199.59,506929.59,0.00,-798.00,O;P
